Link,Bedrooms,Bathrooms,Area_m2,Price_per_meter,Address,City,Location_1,Location_2,Unit,Type,Rent_Sale
https://www.propertysorted.com/buy/listing/ad-compound-hyde-park-bedrooms-2-sqm-145-property-type-apartment,2.0,,145.0,80208.0,"Hyde Park, New Cairo, Egypt",Cairo,New Cairo,Hyde Park,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-shouyfat-bedrooms-2-sqm-130-property-type-apartment,2.0,,130.0,49020.0,"El Shouyfat, New Cairo, Egypt",Cairo,New Cairo,El Shouyfat,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azad-bedrooms-5-sqm-177-property-type-apartment,5.0,,177.0,65934.0,"Azad, New Cairo, Egypt",Cairo,New Cairo,Azad,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-moon-residence-bedrooms-1-sqm-115-property-type-apartment,1.0,,115.0,128676.0,"Moon Residence, New Cairo, Egypt",Cairo,New Cairo,Moon Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-sky-condos-bedrooms-1-sqm-190-property-type-apartment,1.0,,190.0,101045.0,"Sky Condos, New Cairo, Egypt",Cairo,New Cairo,Sky Condos,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-al-narges-bedrooms-2-sqm-200-property-type-apartment,2.0,,200.0,35675.0,"Al Narges, New Cairo, Egypt",Cairo,New Cairo,Al Narges,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-katameya-plaza-compound-bedrooms-3-sqm-230-property-type-apartment,3.0,,230.0,65359.0,"Katameya Plaza Compound, New Cairo, Egypt",Cairo,New Cairo,Katameya Plaza Compound,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-lake-view-residence-bedrooms-4-sqm-215-property-type-apartment,4.0,,215.0,86387.0,"Lake View Residence, New Cairo, Egypt",Cairo,New Cairo,Lake View Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-new-lotus-bedrooms-3-sqm-220-property-type-apartment,3.0,,220.0,26028.0,"New Lotus, New Cairo, Egypt",Cairo,New Cairo,New Lotus,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-saada-bedrooms-5-sqm-700-property-type-apartment,5.0,,700.0,189452.0,"Saada, New Cairo, Egypt",Cairo,New Cairo,Saada,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-90-avenue-bedrooms-6-sqm-157-property-type-apartment,6.0,,157.0,66061.0,"90 Avenue, New Cairo, Egypt",Cairo,New Cairo,90 Avenue,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-south-lotus-bedrooms-3-sqm-200-property-type-apartment,3.0,,200.0,38298.0,"South Lotus, New Cairo, Egypt",Cairo,New Cairo,South Lotus,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-stone-residence-bedrooms-1-sqm-62-property-type-apartment,1.0,,62.0,45143.0,"Stone Residence, Katameya, Egypt",Cairo,Katameya,Stone Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-azzar-bedrooms-3-sqm-150-property-type-apartment,3.0,,150.0,73148.0,"Azzar, New Cairo, Egypt",Cairo,New Cairo,Azzar,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-the-waterway-view-bedrooms-4-sqm-232-property-type-apartment,4.0,,232.0,121306.0,"The Waterway View, New Cairo, Egypt",Cairo,New Cairo,The Waterway View,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-century-city-bedrooms-5-sqm-300-property-type-apartment,5.0,,300.0,26878.0,"Century City, New Cairo, Egypt",Cairo,New Cairo,Century City,Apartment,Residential,Sale
